"codi_enf","desc_enf","esta_enf"
,"ALESSIA","S"
"CO6.9","Tumor maligno en la boca, no especificas","N"
"K00.0","Anodoncia","S"
"K00.1","Hiperodontia","S"
"k00.19","Exodoncia","S"
"K00.2","Anormalidades de tamaño y forma de los dientes","S"
"K00.30","Diagnostico diente molar","S"
"K00.4","Trastornos en la formación ","S"
"K00.5","Trastornos hereditarios en la estructura de los dientes, no clasificados en otra parte","S"
"K00.6","Trastornos en la erupción de los dientes","S"
"K00.7","Síndrome de la dentición","S"
"K00.8","Otros trastornos del desarrollo de los dientes","S"
"K00.9","Trastorno del desarrollo de los dientes sin especificar","S"
"K01.0","Dientes embebidos","S"
"K01.1","Dientes impactados","S"
"K02.0","Caries limitada al esmalte","S"
"K02.1","Caries de dentina","S"
"K02.2","Caries del cemento","S"
"K02.3","Caries arrestada","S"
"K02.4","Odontoclasia","S"
"K02.8","Otras caries","S"
"K02.9","Caries sin especificar","S"
"K03.0","Atrición excesiva de los dientes","S"
"K03.1","Abrasion de los dientes","S"
"K03.2","Erosión de los dientes","S"
"K03.3","Resorción patológica de los dientes","S"
"K03.4","Hipercementosis","S"
"K03.5","Anquilosis de los dientes","S"
"K03.6","Depósitos (acreciones) de los dientes","S"
"K03.7","Cambios de color posteruptivos de los tejidos duros dentales","S"
"K03.8","Otras enfermedades especificadas de los tejidos duros de los dientes","S"
"K03.9","Enfermedad de los tejidos duros de los dientes sin especificar","S"
"K04.0","Pulpitis","S"
"K04.1","Necrosis de la pulpa dentaria","S"
"K04.2","Degeneración de la pulpa dentaria","S"
"K04.3","Formación anormal de los tejidos duros de la pulpa dentaria","S"
"K04.4","Periodontitis apical aguda de la pulpa dentaria","S"
"K04.5","Periodontitis apical crónica","S"
"K04.6","Absceso periapical con senos","S"
"K04.7","Absceso periapical sin senos","S"
"K04.8","Quiste radicular","S"
"K04.9","Otras enfermedades de la pulpa dentaria y los tejidos periapicales y enfermedades sin especificar","S"
"K05.0","Gingivitis aguda","S"
"K05.1","Gingivitis crónica","S"
"K05.2","Periodontitis aguda","S"
"K05.3","Periodontitis crónica","S"
"K05.4","Periodontosis","S"
"K05.5","Otras enfermedades periodontales","S"
"K05.6","Enfermedad periodontal sin especificar","S"
"K06.0","Recesión gingival","S"
"K06.1","Alargamiento gingival","S"
"K06.2","Lesiones gingivales y de la cresta alveolar edentulosa asociadas con traumas","S"
"K06.8","Otros trastornos gingivales y de la cresta alveolar edentulosa especificados","S"
"K06.9","Trastorno gingival y de la cresta alveolar edentulosa sin especificar","A"
"K07.0","Anomalías mayores del tamaño de la mandíbula","S"
"K07.1","Anomalías de la relación mandíbula-base del craneo","S"
"K07.2","Anomalías de la relación del arco dental","S"
"K07.3","Anomalías de la posición de los dientes","S"
"K07.4","Maloclusión sin especificar","S"
"K07.5","Anormalidades funcionales dentofaciales","S"
"K07.6","Trastornos de la unión temporomandibular","S"
"K07.8","Otras anomalías dentofaciales","S"
"K07.9","Anomalía dentofacial sin especificar","S"
"K08.0","Exfoliación de los dientes debida a causas sistémicas","S"
"K08.1","Pérdida de los dientes debido a un accidente, extracción o enfermedad periodontal local","S"
"K08.2","Atrofia de la cresta alveolar edentulosa","S"
"K08.3","Raíz dental retenida","S"
"K08.8","Otros trastornos especificados de dientes y estructuras de soporte","S"
"K08.9","Trastorno especificado de dientes y estructuras de soporte sin especificar","S"
"K09.0","Quiste odontogánico de desarrollo","S"
"K09.1","Quistes de desarrollo (no-odontogénicos) de la región oral","S"
"K09.2","Otros quistes de la mandíbula","S"
"K09.8","Otros quistes de la región oral, no clasificados en otra parte","S"
"K09.9","Quiste de la región oral sin especificar","S"
"K10.0","Trastornos de desarrollo de las mandíbulas","S"
"K10.1","Granuloma celular gigante, central","S"
"K10.2","Condiciones inflamatorias de las mandíbulas","S"
"K10.3","Alveolitis de las mandíbulas","S"
"K10.8","Otras enfermedades de las mandíbulas especificadas","S"
"K10.9","Enfermedad de las mandíbulas, sin especificar","S"
"K11.0","Atrofia de las glándulas salivales","S"
"K11.1","Hipertrofia de las glándulas salivales","S"
"K11.2","Sialadenitis","S"
"K11.3","Abceso de las glándulas salivales","S"
"K11.4","Fístula de las glándulas salivales","S"
"K11.5","Sialolitiasis","S"
"K11.6","Mucocele de las glándulas salivales","S"
"K11.7","Trastornos de la secreción salival","S"
"K11.8","Otras enfermedades de las glándulas salivales","S"
"K11.9","Enfermedad de las glándulas salivales sin especificar","S"
"K12.0","Afta oral recurrente","S"
"K12.1","Otras formas de estomatitis","S"
"K12.2","Celulitis y abceso bucal","S"
"K13.0","Enfermedades de los labios","S"
"K13.1","Picadure en la mejilla y los labios","S"
"K13.2","Leucoplaquia y otros trastornos del epitelio oral, incluyendo la lengua","S"
"K13.3","Leucoplaquia capilar","S"
"K13.4","Granuloma y lesiones de tipo granulómico de la mucosa oral","S"
"K13.5","Fibrosis oral submucosa","S"
"K13.6","Hiperplasia irritativa de la mucosa oral","S"
"K13.7","Otras lesiones y lesiones sin especificar de la mucosa oral","S"
"K14.0","Glositis","S"
"K14.1","Lengua geográfica","S"
"K14.2","Glositis romboidea mediana","S"
"K14.3","Hipertrofia de las papilas gustativas","S"
"K14.4","Atrofia de las papilas gustativas","S"
"K14.5","Lengua plicada","S"
"K14.6","Glosodinia","S"
"K14.8","Otras enfermedades de la lengua","S"
"K14.9","Enfermedad de la lengua sin especificar","S"
"M00.7","Brakers","N"
"Z00.1","Diagnostico de pruebas","N"
