name,price
CORONA MONOLÍTICA,250.00
CARILLA MONOLÍTICA,250.00
CORONA CUT BACK APLICADA,280.00
INCRUSTACIONES Y FRAGMENTOS,250.00
COFIA OPACA PARA SUSTRATO SATURADO,125.00
ENDO-CROWN,250.00
TABLET TOP,250.00
PIEZA DE ZIRCONIO MONOLÍTICO MULTILAYER,320.00
PIEZA DE ZIRCONIO COFIA APLICADA,350.00
PIEZA DE ZIRCONIO CUT BACK APLICADO,350.00
APOYO ZIRCONIO,150.00
ROMPE FUERZA,120.00
CORONA O PÓNTICO DE METAL PORCELANA,120.00
CORONA METAL PORCELANA C/ ATACHE (SIN MATRIX),160.00
CORONA CON COLLARIN Y PREPACION PARA PPR,140.00
CORONA CON HOMBRO CERAMICO,140.00
COFIA METAL PARA PORCELANA,60.00
CORONA VENEER PORCELANA,120.00
CORONA TELESCÓPICA METAL,100.00
CORONA METAL PORCELANA (FUSION LÁSER),165.00
ESPIGO O PERNO METALICO DIRECTO,40.00
ESPIGO O PERNO METALICO INDIRECTO,50.00
ESPIGO O PERNO METALICO CON ATACHE (SIN MATRIX),60.00
ESPIGO TAPA.,60.00
CORONA METÁLICA.,100.00
APOYO METÁLICO,50.00
ROMPE FUERZA,80.00
OPACADO DE PILAR,50.00
INCRUSTACION METAL,60.00
METAL PORCELANA x PZA.,30.00
ZIRCONIO x PZA,80.00
SOBRE IMPLANTE ZR,80.00
SOBRE IMPLANTE BARRA MP,60.00
DISILICATO x PZA,40.00
CEROMERO x PZA.,70.00
CORONA ATORNILLADA,200.00
CORONA SOBRE PILAR PREFORMADO CEMENTADA (FRESADO+COFIA),220.00
CORONA UCLA (COLADO + COFIA ),240.00
FRESADO DE PILAR METALICO PARA IMPLANTE,50.00
CONEXIÓN DE IMPLANTE MULTIPLE DIGITAL,60.00
BARRA HIBRIDA METAL,50.00
CORONA ZIRCONIO SOBRE PILAR COLADO Y OPACADO,360.00
CORONA ZIRCONIO SOBRE PILAR PREFORMADO FRESADO Y OPACADO,340.00
CORONA ZIRCONIO SOBRE TI BASE,340.00
PILAR PERSONALIZADO DE ZIRCONIO SOBRE TI BASE,150.00
CORONA CEROMERO,170.00
INCRUSTACIONES INLAY CEROMERO,100.00
INCRUSATCIONES ONLAY CEROMERO,120.00
INCRUSTACIONES OVERLAY CEROMERO,150.00
CARILLAS CEROMERO,150.00
ENDO-CROWN CEROMERO,150.00
TABLET TOP CEROMERO,150.00
OPACADO DE PILAR PREFORMADO CEROMERO,30.00
CORONA PMMA,120.00
CORONA PMMA S/IMPLANTE,150.00
INCRUSTACION ONLAY-INLAY PMMA,130.00
ENDO-CROWN PMMA,170.00
PLACA DE RELAJAMIENTO (FERULA) MIORELAJANTE.,150.00
PROTESIS TOTAL - C/ TRIPLEX(TABLETA 2 CAPAS).,200.00
PROTESIS TOTAL - C/ TRIPLEX (TABLETA 3 CAPAS).,250.00
PROTESIS TOTAL PROVISIONAL AUTO CURADO.,100.00
PROTESIS PARCIAL AUTOCURADO,100.00
ACRILIZADO PPR Cr-Co C/ ACRILICO TRIPLEX(TABLETA 2 CAPAS),150.00
ACRILIZADO PPR Cr-Co C/ ACRILICO TRIPLEX(TABLETA 3 CAPAS),200.00
CORONAS TERMOCURABLES ACRILICO PROVISIONAL SIN ENCERADO,40.00
PROVISIONAL AUTOCURADO SIN ENCERADO.,30.00
PROTESIS PARCIAL REMOVIBLE WIPLA TERMO CURADO (TABLETA 2 CAPAS),100.00
PROTESIS PARCIAL REMOVIBLE WIPLA TERMO CURADO (TABLETA 3 CAPAS).,150.00
PLACA DE RELAJAMIENTO ACETATO RIGIDO (VACUUM).,50.00
PLACA DE BLANQUEAMIENTO,35.00
ACRILIZADO TOTAL SOBRE BARRA DE METAL (TABLETA 2 CAPAS),500.00
ACRILIZADO TOTAL SOBRE BARRA DE METAL(TABLETA 3 CAPAS),550.00
REBASADO DE PRÓTESIS (PRENSADO)ACRILICO RAPIDO.,50.00
REBASADO DE PRÓTESIS (TERMO CURADO).,80.00
COPA DE IMPRESIÓN RIPOL.,10.00
PLACA BASE Y RODETE UNIDAD.,25.00
CUBETA INDIVIDUAL UNIDAD.,25.00
REPARACION DE PROTESIS ACRILICO.,50.00
ENCERADO DE DIAGNOSTICO POR PIEZA.,15.00
SOLDADURA POR PUNTO,40.00
PLACA DE ORTODONCIA HAWLEY.,120.00
PLACA DE ORTODONCIA C/TORNILLO.( HYRAX),200.00
PLACA DE ORTODONCIA C/TORNILLO(HIS),150.00
PLACA ORTODONCIA MCNAMARA,250.00
ARCO LINGUAL,100.00
BOTON DE NANCE,120.00
ATP,100.00
ESCANEADO INTRA ORAL (SUPERIOR E INFERIOR),200.00
ESCANEADO DE MODELOS RIGIDO POR ARCADA,35.00
ESCANEADO DE MODELOS SEGATEADO POR ARCADA,50.00
DISEÑO DE SONRISA-POR ARCADA,150.00
IMPRESIÓN DE MODELO POR ARCADA,100.00
IMPRESIÓN DE MODELO HEMIARCADA,50.00
IMPRESIÓN DE MODELO SOBRE IMPLANTE,120.00
ARTICULADOR 3D (DEMATEC),25.00
IMPRESIÓN DE GUÍA QX PARA IMPLANTES,180.00
DISEÑO E IMPRESIÓN DE QX PARA IMPLANTES,400.00
DISEÑO DE GUÍA QX PARA IMPLANTES,250.00
IMPRESIÓN DE GUÍA PARA GINGIVECTOMÍA,180.00
DISEÑO E IMPRESIÓN DE GUÍA PARA GINGIVECTOMÍA,300.00
DISEÑO DE GUÍA PARA GINGIVECTOMÍA,180.00
DISEÑO E IMPRESIÓN QUIA QX TOTAL MULTIPLE,600.00
DISEÑO DE GUIA QX TOTAL,400.00
CARILLA DISILICATO,220.00
CORONA DISILICATO,220.00
CARILLA LENTE DE CONTACTO,230.00
CORONA MONOLÍTICA ZIRCONIO,280.00
CORONA FELDESPÁTICA / VENNER,300.00
CORONA SOBRE IMPLANTE ZIRCONIO,300.00
CORONA METAL PORCELANA,110.00
CORONA CON ATACHE METAL PORCELANA,220.00
CORONA VENNER METAL PORCELANA,100.00
ESTRUCTURA METAL,60.00
ESTRUCTURA DISILICATO,120.00
ESTRUCTURA DISILICATO TIPO VENNER,150.00
CORONA SOBRE IMPLANTE (IMPLANTE),200.00
CORONA E-MAX SOBRE IMPLANTE,260.00
PRÓTESIS CON IMPLANTE,1500.00
FÉRULA OCLUSAL,80.00
PRÓTESIS TOTAL,120.00
PROTESIS TOTAL CON DIENTES IVOSTAR/ACRILICO TRIPLE,250.00
CORONA IVOCRON TIPO CERÁMICO,70.00
CORONA IVOCRON JACKET,60.00
CORONA IVOCRON VENNER,65.00
CORONA TERMOCURADO,35.00
CORONA AUTOCURADO,20.00
PRÓTESIS PARCIAL WIPLA (DIENTE IVOSTAR),190.00
PRÓTESIS PARCIAL WIPLA,90.00
ESPIGO METAL,25.00
ESPIGO CON ATACHE METAL,120.00
RETENEDOR DE METAL,35.00
PRÓTESIS PARCIAL REMOVIBLE (CROMO COBALTO),160.00
ESPIGO NPG+2,110.00
PLACA HAWLEY CONTINUA,120.00
PLACA CON TORNILLO EXPANSOR (SIN COSTO DE TORNILLO),120.00
GUÍA QUIRÚRGICA,35.00
FÉRULA DE BLANQUEAMIENTO,25.00
FÉRULA BLANDA DE RELAJACIÓN,50.00
IMPRESIÓN DE MODELOS ( DIGITAL),50.00
ENCERADO E IMPRESIÓN EN 3D (SUP-INF),350.00
ESCANEO DE MODELO POR ARQUEADA,25.00
ACRILIZADO DE PPR,90.00
